lu_category,latitude,longitude,area_sqm
residential,1.4162876191370488,103.90588078402142,1272.762962
residential,1.4144560102348516,103.90308424189978,6995.908469665
residential,1.4189860573186104,103.90885125271282,942.8735726
residential,1.4191454669989547,103.90855708643316,539.13660225
residential,1.418419543522927,103.90907827298085,464.22305442
residential,1.4162675779104952,103.90506697821756,599.57292005
residential,1.414207755326382,103.90348852832915,619.66597955
residential,1.4184582450799277,103.90895609322821,463.87682146
open,1.4025744284984691,103.89838764944814,3486.82115957
residential,1.4141897264399113,103.90317409036027,107.08370105
residential,1.4145129615084113,103.9037602139174,401.054624
residential,1.4149875626471842,103.9049612974982,572.26581714
residential,1.4159745597706417,103.90520032478165,605.914479
commercial,1.3296613753365558,103.63507324965819,8755.98343385
commercial,1.3267473256539584,103.6332619818303,95679.750933625
commercial,1.3375010739484279,103.63861305086448,1403.468824
commercial,1.3355315339414475,103.63901226485281,5016.8200665
commercial,1.335736068945126,103.63811062920134,5767.988705
commercial,1.335511152850351,103.63703700513153,4131.2922037
commercial,1.333584167078852,103.63897474926144,4232.4449809
commercial,1.3362937781398105,103.63764444142616,5016.132611
commercial,1.334399597002785,103.63698604225155,4521.792966195
commercial,1.3290466389011126,103.63680142642612,30163.900606905
infrastructure,1.337374803456898,103.63978522123699,24877.326398035
infrastructure,1.3303514950114608,103.63546446972165,17930.30274582
commercial,1.3373614782806311,103.63828890341486,1402.530261
commercial,1.3366150921704647,103.6386019318953,1316.030891
commercial,1.3343749382422874,103.63842174529591,4129.95381485
commercial,1.3352774011190283,103.63847619022228,6145.1040835
commercial,1.334730249132368,103.63964197499868,6915.92719431
commercial,1.3353027503467105,103.6399992387108,9544.7861626
commercial,1.3330881797586047,103.63840023863214,5003.1225928
commercial,1.3333243911449466,103.63947954741141,5075.80236925
commercial,1.3378366251752767,103.63890794671141,2474.6323087
commercial,1.3284653556054005,103.63503583575199,22782.099986055
commercial,1.3317953924505561,103.63809731207853,3238.025903135
commercial,1.336404659292518,103.6384193987362,2529.445168
commercial,1.3369974313832755,103.63914179918501,1312.198316
commercial,1.3373972658066515,103.63624909614663,7405.5646645
commercial,1.3346731944388854,103.63810838750085,4130.45534945
commercial,1.335779935691527,103.63675653747235,4130.76677254
infrastructure,1.335691229633303,103.63753619375005,3968.679905205
commercial,1.3325769669434377,103.63891687672856,4001.1727405
commercial,1.3327568649126105,103.63999075582637,10612.5945976
infrastructure,1.3369200955970761,103.63824702798482,12112.34594103
other,1.3482136263977222,103.6389581849869,55864.57432916
other,1.3449361599270797,103.63750777945828,106314.331797815
infrastructure,1.3388228242266014,103.6460141966303,2315.647766
commercial,1.3341020235620944,103.63593461276723,4519.195607705
infrastructure,1.3376927307344582,103.6381549924117,3980.764508895
infrastructure,1.3337024704850855,103.63939896436085,15209.287284225
infrastructure,1.3331973575816964,103.64015399275127,1047.68948335
commercial,1.3254870580153169,103.63635965492931,5027.1835245
commercial,1.326213312724255,103.64021577288597,6785.602312165
commercial,1.3266835810509552,103.63741987178928,5280.0034145
commercial,1.3272126857032744,103.63762684008555,5280.118829
commercial,1.328758128783733,103.63926051781822,5280.12352305
commercial,1.3265936766535618,103.6365328485424,33988.16283725
commercial,1.3290764005772415,103.63983569724533,5954.095980585
commercial,1.3285151606366066,103.63751121845766,17769.27507911
commercial,1.3283698278156222,103.63878679864665,5280.1751977
commercial,1.3252807280877086,103.63953458477586,32844.213311845
commercial,1.3263682073319587,103.63712350459177,5280.18568845
commercial,1.3278006808755174,103.63842126315654,10560.2390272
commercial,1.326300129212249,103.63925721402379,17265.14411304
commercial,1.3254277151344953,103.63786555161005,12532.8159545
commercial,1.3289792901066186,103.63825442522959,8001.7398124
infrastructure,1.3257807603437757,103.64070904635103,4496.508186575
infrastructure,1.3256212515844965,103.6373627917507,1056.146904
infrastructure,1.3248102011523657,103.6401996363603,5273.984076055
infrastructure,1.324597673596508,103.6341380032541,63057.63224033
commercial,1.3272828091307667,103.6402948595993,1403.72524095
commercial,1.3263117676752005,103.64124238057671,2103.164384
commercial,1.328697001636109,103.64024061716056,7874.011555785
commercial,1.327618361884143,103.63994230933068,1401.5768325
commercial,1.3265861989239485,103.64082275224364,1402.4903765
commercial,1.3273946782014054,103.64017731865121,1404.9225876
