outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,region,geocode_status,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,neighborhood_type,dominant_landuse_1000m,landuse_diversity_1000m,win_rate_hdb_1000m
Li Thoe Trading,380119,Authorised Retailer,6,32,38,matched,1.32012887290025,103.886058091225,119 ALJUNIED AVENUE 2 SINGAPORE 380119,GEYLANG,CENTRAL REGION,OK,440343,67766,0,85311,26382,64,0.8666,1418575,527520,7601,248583,44467,138,0.728,2544899,1730070,71589,411016,142138,269,0.5937,residential,residential,5,0.275362
Li Li Cheng Supermarket (Punggol) Pte Ltd,823273,Authorised Retailer,6,23,29,matched,1.40230301367166,103.901262391698,273C PUNGGOL PLACE PUNGGOL REGALIA SINGAPORE 823273,PUNGGOL,NORTH-EAST REGION,OK,433082,0,0,43149,41184,112,1.0,1440059,0,73668,291995,270344,416,0.9757,3067787,38725,123291,845587,518243,764,0.9689,residential,residential,4,0.069712
Cold Storage Compass One,545078,Authorised Retailer,6,39,45,matched,1.39193355469474,103.895026387256,1 SENGKANG SQUARE SENGKANG LIBRARY SINGAPORE 545078,SENGKANG,NORTH-EAST REGION,OK,314635,17465,27086,100310,39003,107,0.9137,1567650,42614,36764,383653,111304,442,0.963,3451451,183826,111908,623406,445487,870,0.936,residential,residential,5,0.10181
Chua Yan Kee,142049,,6,8,14,scraped,1.3004269308691,103.797359760167,49 TANGLIN HALT ROAD SINGAPORE 142049,QUEENSTOWN,CENTRAL REGION,OK,517325,74762,0,32368,40248,45,0.8737,1358483,464939,36202,180258,262756,155,0.7402,3132040,910044,53321,436405,372946,244,0.7713,residential,residential,5,0.090323
Chng Siow Eng Agency,510625,Authorised Retailer,6,26,32,matched,1.37860239032585,103.941978177673,625 ELIAS ROAD CHERIE HEARTS KIDZ CAMPUS PTE. LTD. SINGAPORE 510625,PASIR RIS,EAST REGION,OK,342639,0,19965,78575,15959,178,0.9725,1426811,110922,32965,183915,728036,326,0.9189,2067335,979277,56801,233057,947821,427,0.6753,residential,residential,5,0.09816
Cheng Tai Boon Beng,238841,Authorised Retailer,6,21,27,matched,1.30125729409965,103.841150144584,150 ORCHARD ROAD ORCHARD PLAZA SINGAPORE 238841,ORCHARD,CENTRAL REGION,OK,155039,164928,36066,412804,24117,0,0.4861,1070374,387588,91857,586135,279349,0,0.7203,2000506,986971,269606,916750,471335,27,0.6556,mixed,residential,5,0.0
Cheng Chew Wah Agency - Marine Terrace,440058,Authorised Retailer,6,26,32,matched,1.30611781253448,103.914026029355,58 MARINE TERRACE MARINE TERRACE HAVEN SINGAPORE 440058,MARINE PARADE,CENTRAL REGION,OK,440625,6545,0,131218,2047,49,0.9854,1457536,73145,5165,227381,376984,77,0.9507,2924406,172737,35703,405402,688756,78,0.9392,residential,residential,5,0.415584
7-Eleven Store McCallum Street,069044,Authorised Retailer (7-Eleven),6,37,43,matched,1.27968475844532,103.847576349037,3 MCCALLUM STREET TELOK AYER CONSERVATION AREA SINGAPORE 069044,OUTRAM,CENTRAL REGION,OK,39471,334232,6062,29232,24673,1,0.1119,166466,786697,100288,133838,294998,42,0.2056,471553,999072,135644,556880,549922,80,0.3358,commercial,commercial,5,1.02381
Wong Teck Chow Enterprise (Private) Limited,188061,Authorised Retailer,5,5,10,matched,1.30197196437956,103.857804288546,390 VICTORIA STREET THE GOLDEN LANDMARK SINGAPORE 188061,ROCHOR,CENTRAL REGION,OK,95284,246040,60183,49415,33143,15,0.3123,373194,829664,197300,229230,136961,93,0.337,1043939,1611784,202315,525906,728758,113,0.4007,commercial,commercial,5,0.107527
U Stars Sumang Walk,820218,,5,2,7,scraped,1.40322712524584,103.89538702242,218 SUMANG WALK MATILDA PORTICO SINGAPORE 820218,PUNGGOL,NORTH-EAST REGION,OK,394774,0,0,101285,31224,92,1.0,1238607,12497,29989,338280,227155,261,0.9785,2364387,25455,110433,587423,624229,584,0.9677,residential,residential,5,0.02682
Tuck Lee Long,560159,Authorised Retailer,5,23,28,matched,1.37479893193043,103.839858129785,159 ANG MO KIO AVENUE 4 SINGAPORE 560159,ANG MO KIO,NORTH-EAST REGION,OK,323029,0,54330,45338,223116,60,0.928,1635982,0,214311,292779,311195,207,0.9421,3250210,84974,214311,829109,738650,319,0.9459,residential,residential,4,0.135266
Tay Ah Tho Trading,730768,Authorised Retailer,5,25,30,matched,1.44571784134906,103.798166316676,768 WOODLANDS AVENUE 6 CENTRAL 24-HR CLINIC (WOODLANDS) SINGAPORE 730768,WOODLANDS,NORTH REGION,OK,446975,83871,14533,75829,22582,114,0.8329,1357372,742925,64283,145087,95631,312,0.6419,2101703,2114405,64283,589709,234476,506,0.4985,mixed,residential,5,0.096154
