outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,x_svy21,y_svy21,planning_area,geocode_status
NTUC FairPrice Le Quest,657991,Authorised Retailer (FairPrice),2,8,10,matched,1.35594171176111,103.741127005764,4 BUKIT BATOK STREET 41 LE QUEST SINGAPORE 657991,17740.1310895691,37558.856544869,,OK
NTUC FairPrice Dawson Place,142057,Authorised Retailer (FairPrice),2,18,20,matched,1.29270339855062,103.810958956467,57 DAWSON ROAD DAWSON PLACE SINGAPORE 142057,25511.5673628356,30566.1039248593,,OK
Lee Ah Lan Trading,600061,,2,8,10,scraped,1.32213636287766,103.738292803395,61 TEBAN GARDENS ROAD MULTI STOREY CAR PARK-TEBAN PLACE SINGAPORE 600061,17424.5715594292,33820.8410988878,,OK
Holland Drive Betting Centre – Lottery Lobby (Public),270047,Betting Centre,2,7,9,matched,1.30853249504926,103.792385082436,47 HOLLAND DRIVE SINGAPORE 270047,23444.4839415792,32316.4300815929,,OK
Hock Soon Ann,460073,Authorised Retailer,2,16,18,matched,1.31983803117222,103.943971359147,73 BEDOK SOUTH AVENUE 3 SIGLAP LUCKY VALLEY SINGAPORE 460073,40314.5727053983,33566.7747914363,,OK
Gerk Chwee Trading,557256,Authorised Retailer,2,24,26,matched,1.3646888567179,103.866035308524,4 KENSINGTON PARK ROAD SERANGOON GARDEN ESTATE SINGAPORE 557256,31640.9837710336,38525.9005849175,,OK
Dawn Florist - Aljunied Avenue 2,380119,Authorised Retailer,2,6,8,matched,1.32012887290025,103.886058091225,119 ALJUNIED AVENUE 2 SINGAPORE 380119,33869.3886141358,33598.7229509298,,OK
Balestier Khalsa Football Club,310070,Authorised Retailer,2,8,10,matched,1.33444874946936,103.852333287558,70 LORONG 4 TOA PAYOH TOA PAYOH VISTA SINGAPORE 310070,30116.1374758715,35182.0874286592,,OK
B.H. Mini Mart,350137,Authorised Retailer,2,6,8,matched,1.33385759374197,103.865845367722,137 POTONG PASIR AVENUE 3 SINGAPORE 350137,31619.891163365,35116.736188231,,OK
A.P. Mini Mart - Lorong 8 Toa Payoh,310234,Authorised Retailer,2,8,10,matched,1.33860148626926,103.857914069837,234 LORONG 8 TOA PAYOH TOA PAYOH EIGHT SINGAPORE 310234,30737.2154049659,35641.2813448943,,OK
